Latitude Longitude Depth Magnitude Strike Dip Rake
9.9211 -84.119 74.0 3.82 6.0 81.0 -168.0
8.9455 -84.0566 19.0 4.11 267.0 59.0 -42.0
9.5907 -84.8209 21.0 3.86 97.0 77.0 134.0
10.6031 -86.574 50.0 4.94 324.0 61.0 144.0
9.5601 -84.7502 15.0 3.62 119.0 70.0 84.0
9.8556 -84.3748 7.0 4.24 245.0 89.0 -32.0
7.8919 -83.2104 24.0 4.0 139.0 57.0 115.0
9.502 -84.6671 18.0 5.97 111.0 60.0 83.0
9.4965 -84.6986 12.0 3.54 270.0 84.0 7.0
8.1785 -82.986 19.0 4.27 347.0 76.0 154.0
8.1785 -82.986 13.0 3.92 73.0 83.0 -157.0
9.48 -84.86 16.0 4.0 109.0 67.0 97.0
8.2668 -82.9956 15.0 5.36 73.0 65.0 33.0
8.2174 -83.0281 4.0 4.62 157.0 87.0 135.0
8.1874 -82.9331 12.0 4.2 145.0 64.0 -75.0
8.3296 -82.9929 5.0 4.24 145.0 62.0 -89.0
7.8126 -83.1798 9.0 4.31 250.0 77.0 51.0
8.2824 -83.7075 10.0 4.24 349.0 88.0 -169.0
8.2014 -82.9851 15.0 4.21 197.0 82.0 153.0
9.97 -83.55 13.0 3.95 306.0 70.0 110.0
9.5098 -84.4357 14.0 3.51 212.0 59.0 -63.0
8.011 -82.7316 26.0 4.51 224.0 48.0 -95.0
8.4635 -82.9855 30.0 4.76 102.0 59.0 50.0
8.4288 -82.9985 30.0 4.37 109.0 73.0 105.0
9.639 -84.8783 25.0 4.44 120.0 68.0 93.0
9.4369 -84.6622 19.0 4.17 109.0 47.0 98.0
8.3383 -83.0514 7.0 4.78 171.0 66.0 154.0
11.3837 -83.78 8.0 4.09 144.0 89.0 178.0
9.5956 -84.7745 21.0 3.5 322.0 61.0 -116.0
9.3658 -84.5547 15.0 4.49 97.0 59.0 78.0
9.4051 -84.6032 14.0 3.5 119.0 62.0 92.0
9.4004 -84.7961 15.0 3.6 93.0 50.0 -94.0
9.6527 -84.895 21.0 3.6 287.0 58.0 -85.0
9.5087 -84.6496 16.0 3.9 52.0 88.0 -168.0
9.76 -84.04 4.0 3.35 147.0 80.0 14.0
9.3477 -83.7812 10.0 3.8 237.0 62.0 66.0
9.6237 -84.8312 22.0 3.46 262.0 56.0 -120.0
9.326 -83.9755 44.0 4.22 260.0 65.0 -89.0
8.81 -85.49 30.0 5.7 356.0 85.0 173.0
8.671 -82.7767 10.0 4.78 359.0 75.0 160.0
10.83 -85.33 2.0 3.94 76.0 87.0 -34.0
9.179545 -83.979093 28.0 3.83 312.0 46.0 -81.0
9.561682 -83.979093 28.0 3.77 282.0 51.0 -114.0
9.4938 -83.7423 9.17 3.6 130.0 89.0 -162.0
9.4933 -84.8832 17.0 4.71 95.0 64.0 66.0
5.49 -82.58 8.0 6.0 2.0 78.0 -173.0
